id,value,feed_id,created_at,lat,lon,ele
0FD33TP6MNXJ1F1NBBRKTQPNEJ,33,2497174,2023-09-09 14:34:49 ,,,
0FD33TTHPEXTXY5KN9A1RKMW8F,33,2497174,2023-09-09 14:35:03 ,,,
0FD33TY039W92NDDAD5AXQ01DP,33,2497174,2023-09-09 14:35:15 ,,,
0FD33V2VQQ58SATSS6HMZPB01Z,33,2497174,2023-09-09 14:35:30 ,,,
0FD33V7RM5FK9XCHRQP654NH74,33,2497174,2023-09-09 14:35:47 ,,,
0FD33VCPA4GAF49NTVH4ZH5F20,33,2497174,2023-09-09 14:36:03 ,,,
0FD33VG2ERMH6R9CHSGG9D3TJ0,33,2497174,2023-09-09 14:36:14 ,,,
0FD33VNCK91SK4C594888819JK,33,2497174,2023-09-09 14:36:31 ,,,
0FD33VSXKGHTDJ7JA24CXRXX1P,33,2497174,2023-09-09 14:36:46 ,,,
0FD33VYXYFVQWM8EAH6GY1RVK3,33,2497174,2023-09-09 14:37:02 ,,,
0FD33W3R5MYCTHR9794QVF6EW2,33,2497174,2023-09-09 14:37:18 ,,,
0FD33W7W025B2AZDTV29W1QNXS,33,2497174,2023-09-09 14:37:32 ,,,
0FD33WC24FQNBMJ5QGY64GZ2G6,33,2497174,2023-09-09 14:37:45 ,,,
0FD33WGZXGMRYE808993W313QD,33,2497174,2023-09-09 14:38:02 ,,,
0FD33WPEKVADRHG4EPFA0MHP6Z,33,2497174,2023-09-09 14:38:20 ,,,
0FD33WS9VJYF6EK7Q3YHHPAJDH,33,2497174,2023-09-09 14:38:29 ,,,
0FD33WY7N8GC9EEYMWAJMT7MXW,33,2497174,2023-09-09 14:38:45 ,,,
0FD33X3596NB4D9KHCHCF89X22,33,2497174,2023-09-09 14:39:01 ,,,
0FD33X8304H7DZFB0P17TGQ5YG,33,2497174,2023-09-09 14:39:17 ,,,
0FD33XD0SFN0W5M1PCD8X1AYAC,33,2497174,2023-09-09 14:39:33 ,,,
0FD33XH6C9VWFP3NYTX1QSPGHA,33,2497174,2023-09-09 14:39:47 ,,,
0FD33XNARP7E9EFBXFTHJWR3F2,33,2497174,2023-09-09 14:40:01 ,,,
0FD33XT8ASYZVQA6PAKKTXZZAQ,33,2497174,2023-09-09 14:40:17 ,,,
0FD33XZ5ZAXCNHJ1JKTQ1GNFGE,33,2497174,2023-09-09 14:40:33 ,,,
0FD33Y2J8SD2TA84ADPZGKBNW3,33,2497174,2023-09-09 14:40:44 ,,,
0FD33Y7G4XMG9ZDF30MRZ1W3KR,33,2497174,2023-09-09 14:41:00 ,,,
0FD33YCDK670KF6BCJH32XF7Y5,33,2497174,2023-09-09 14:41:16 ,,,
0FD33YHB70KSB7XDJ4MHYSK36D,33,2497174,2023-09-09 14:41:33 ,,,
0FD33YPSV4D8E5D3BEW4JYTKFR,33,2497174,2023-09-09 14:41:50 ,,,
0FD33YSN3N4B84YFCKNM817TB2,33,2497174,2023-09-09 14:42:00 ,,,
0FD33YYJN2YHS45G1BK6M2YVB4,33,2497174,2023-09-09 14:42:16 ,,,
0FD33Z5QVAVT5X7SB64QPQRFBK,33,2497174,2023-09-09 14:42:39 ,,,
0FD33Z8E0Y7AKWRNDED6B9ZJ21,33,2497174,2023-09-09 14:42:48 ,,,
0FD33ZDKGW6HJH7WPK49AB0AP2,33,2497174,2023-09-09 14:43:05 ,,,
0FD33ZHMYPJ31RPQVTQGZYNHW4,33,2497174,2023-09-09 14:43:18 ,,,
